zpid,address,condition,ag_sqft,bg_sqft,notes
,4417 Lochridge Pkwy,full,1675,0,2025 new construction — slab
,4429 Lochridge Pkwy,full,1675,0,2025 new construction — slab
,4706 Clarmar Rd,light,1109,558,Has finished basement
,4403 Pebblewood Ct,light,1148,550,Bi-level
,8605 Amerivan Dr,as-is,1198,489,Bi-level
,8609 Codington Ct,full,921,921,Finished basement
,4706 Lacarem Dr,full,1256,632,Finished basement
,4406 Lochridge Pkwy,near-full,,,"Seller comp — AG/BG unknown"
,8503 Amerivan Dr,full,,,"Seller comp — AG/BG unknown (likely has basement, 1974 vintage)"
,8918 Collingwood Rd,full,,,"Seller comp — AG/BG unknown"
,4114 Samoset Ct,between,,,"Seller comp — AG/BG unknown"
,4015 Hurstbourne Woods Dr,full,,,"Seller comp — AG/BG unknown"
,4506 Portico Ct,between,,,"Seller comp — AG/BG unknown"
